word,word,sig
Präsident,Obama,110.95
in der Nähe von,in der Nähe,110.69
in der Nähe,in der Nähe von,110.69
gegen,1,110.39
1,gegen,110.39
in,Land,110.18
Land,in,110.18
wollen,sie,110.15
sie,wollen,110.15
Der,Der Chef,110.05
Der Chef,Der,110.05
deutsche,Mannschaft,110.04
Mannschaft,deutsche,110.04
Novak,Djokovic,109.76
Philipp Rösler,Philipp,109.76
Philipp,Philipp Rösler,109.76
Djokovic,Novak,109.76
in den letzten Jahren,letzten,109.66
letzten,in den letzten Jahren,109.66
gegen das,gegen das Gesetz,109.47
Nähe,in der Nähe von,109.47
gegen das Gesetz,gegen das,109.47
in der Nähe von,Nähe,109.47
weiter regieren,weiter,109.17
weiter,weiter regieren,109.17
nach,Spiel,109.14
Spiel,nach,109.14
Mursi,Mohammed,109.05
Mohammed,Mursi,109.05
Partei,der,108.79
der,Partei,108.79
was,passiert,108.61
passiert,was,108.61
als,Mehr,108.52
Mehr,als,108.52
schoss,Tor,108.43
Tor,schoss,108.43
für,die,108.38
die,für,108.38
